duration,startDate,startStation,endDate,endStation,bike,subscription,,startPos,endPos
0h 7m 10s,10/12/2012 17:12:00,US Dept of State / Virginia Ave & 21st St NW,10/12/2012 17:19:00,21st & M St NW,W01083,Subscriber,,38.894919:-77.046587:6.033718764139206,38.9054:-77.0471:24.384959716566712
0h 10m 18s,10/12/2012 17:12:00,12th & L St NW,10/12/2012 17:22:00,New Hampshire Ave & T St NW [formerly 16th & U St NW],W01458,Subscriber,,38.903819:-77.0284:98.78030916899544,38.91554:-77.03818:98.06925223097663
0h 23m 47s,10/12/2012 17:12:00,1st & Washington Hospital Center NW,10/12/2012 17:36:00,15th St & Massachusetts Ave SE,W01164,Subscriber,,38.928743:-77.012457:67.89150497341299,38.88732:-76.983569:78.88116749562222
0h 1m 55s,10/12/2012 17:12:00,US Dept of State / Virginia Ave & 21st St NW,10/12/2012 17:14:00,20th & E St NW,W00410,Subscriber,,38.894919:-77.046587:6.033718764139206,38.8963:-77.045:98.52259364350951
1h 0m 52s,10/12/2012 17:12:00,Park Rd & Holmead Pl NW,10/12/2012 18:13:00,10th & Monroe St NE,W20904,Subscriber,,38.9308:-77.0315:83.7204280632172,38.932514:-76.992889:77.58530377385543
0h 56m 21s,10/12/2012 17:12:00,Ward Circle / American University,10/12/2012 18:09:00,Massachusetts Ave & Dupont Circle NW,W00968,Casual,,38.938736:-77.087171:61.86817281060204,38.9101:-77.0444:0.037382486137694
0h 4m 58s,10/12/2012 17:12:00,16th & Harvard St NW,10/12/2012 17:16:00,New Hampshire Ave & T St NW [formerly 16th & U St NW],W00814,Subscriber,,38.926088:-77.036536:48.16606704314131,38.91554:-77.03818:98.06925223097663
0h 18m 17s,10/12/2012 15:23:00,17th & Corcoran St NW,10/12/2012 15:41:00,15th & P St NW,W00827,Subscriber,,38.9121:-77.0387:10.021915253929913,38.90985:-77.034438:33.998461323854
0h 18m 44s,10/12/2012 15:23:00,US Dept of State / Virginia Ave & 21st St NW,10/12/2012 15:42:00,Maryland & Independence Ave SW,W01193,Casual,,38.894919:-77.046587:6.033718764139206,38.887299:-77.018939:16.87182147881584
0h 6m 19s,10/12/2012 15:23:00,13th St & New York Ave NW,10/12/2012 15:29:00,Thomas Circle,W00924,Subscriber,,38.900283:-77.029822:30.763034074079766,38.9059:-77.0325:87.29941591534198
0h 50m 4s,10/12/2012 15:24:00,15th & K St NW,10/12/2012 16:14:00,7th & T St NW,W00035,Casual,,38.902:-77.03353:5.130581938240663,38.9155:-77.0222:96.26319389275511
0h 2m 9s,10/12/2012 15:22:00,14th & Rhode Island Ave NW,10/12/2012 15:25:00,15th & P St NW,W01314,Subscriber,,38.9086:-77.0323:44.521598782119085,38.90985:-77.034438:33.998461323854
0h 21m 44s,10/12/2012 15:22:00,Calvert St & Woodley Pl NW,10/12/2012 15:44:00,Idaho Ave & Newark St NW [on 2nd District patio],W00496,Subscriber,,38.9236:-77.0501:0.920886146520217,38.934751:-77.074647:94.20846038835255
0h 14m 10s,10/12/2012 15:22:00,17th & K St NW / Farragut Square,10/12/2012 15:36:00,14th & Harvard St NW,W01260,Subscriber,,38.902061:-77.038322:88.6546677538348,38.9268:-77.0322:84.14891391553977
0h 11m 21s,10/12/2012 15:22:00,21st & M St NW,10/12/2012 15:33:00,17th & Corcoran St NW,W00803,Subscriber,,38.9054:-77.0471:24.384959716566712,38.9121:-77.0387:10.021915253929913
0h 18m 40s,10/12/2012 12:46:00,L'Enfant Plaza / 7th & C St SW,10/12/2012 13:05:00,L'Enfant Plaza / 7th & C St SW,W20924,Subscriber,,38.886266:-77.022241:76.56102367806851,38.886266:-77.022241:76.56102367806851
0h 10m 32s,10/12/2012 12:46:00,Metro Center / 12th & G St NW,10/12/2012 12:56:00,4th & E St SW,W00239,Subscriber,,38.898364:-77.027869:10.131369063133011,38.88412:-77.017445:25.217931222451952
0h 10m 6s,10/12/2012 12:46:00,3000 Connecticut Ave NW / National Zoo,10/12/2012 12:56:00,14th & Harvard St NW,W01097,Subscriber,,38.930282:-77.055599:54.266138477437366,38.9268:-77.0322:84.14891391553977
2h 24m 29s,10/12/2012 12:47:00,Adams Mill & Columbia Rd NW,10/12/2012 15:11:00,15th & K St NW,W20896,Casual,,38.922925:-77.042581:68.37871253446838,38.902:-77.03353:5.130581938240663
0h 10m 42s,10/12/2012 12:45:00,17th & Rhode Island Ave NW,10/12/2012 12:56:00,19th & L St NW,W00127,Subscriber,,38.906602:-77.038785:95.2780204067158,38.903407:-77.043648:38.31350971966825
0h 4m 35s,10/12/2012 12:45:00,Barton St & 10th St N,10/12/2012 12:50:00,Court House Metro / Wilson Blvd & N Uhle St,W00787,Subscriber,,38.884961:-77.08777:6.26629497198069,38.891696:-77.0846:61.560015425285386
0h 15m 27s,10/12/2012 12:46:00,Georgetown Harbor / 30th St NW,10/12/2012 13:01:00,19th St & Constitution Ave NW,W00685,Casual,,38.9022212:-77.059219:90.27366227222096,38.8923:-77.0436:28.267586247005305
0h 7m 2s,10/12/2012 12:45:00,14th & R St NW,10/12/2012 12:52:00,10th & U St NW,W01298,Subscriber,,38.912682:-77.031681:9.366245709469068,38.9172:-77.0259:56.89066288103373
0h 17m 14s,10/12/2012 9:38:00,19th & K St NW,10/12/2012 9:55:00,Metro Center / 12th & G St NW,W01288,Subscriber,,38.902204:-77.04337:0.089460381603101,38.898364:-77.027869:10.131369063133011
0h 13m 9s,10/12/2012 9:38:00,Eastern Market Metro / Pennsylvania Ave & 7th St SE,10/12/2012 9:51:00,5th & F St NW,W01395,Subscriber,,38.884:-76.995397:2.693865796764305,38.897222:-77.019347:96.928327974949
0h 7m 55s,10/12/2012 9:38:00,18th St & Pennsylvania Ave NW,10/12/2012 9:46:00,15th & P St NW,W00377,Subscriber,,38.89968:-77.041539:22.059038524876794,38.90985:-77.034438:33.998461323854
0h 6m 38s,10/12/2012 9:37:00,8th & H St NW,10/12/2012 9:44:00,Thomas Circle,W01114,Subscriber,,38.8997:-77.023086:50.458513601911925,38.9059:-77.0325:87.29941591534198
0h 8m 2s,10/12/2012 9:37:00,Lynn & 19th St North,10/12/2012 9:45:00,C & O Canal & Wisconsin Ave NW,W20875,Subscriber,,38.897315:-77.070993:37.12589158880336,38.90375:-77.06269:37.21185511312615
0h 5m 19s,10/12/2012 9:37:00,14th & V St NW,10/12/2012 9:42:00,Massachusetts Ave & Dupont Circle NW,W00612,Subscriber,,38.9176:-77.0321:66.63283867035868,38.9101:-77.0444:0.037382486137694
0h 22m 27s,10/12/2012 8:03:00,Lynn & 19th St North,10/12/2012 8:26:00,23rd & Crystal Dr,W00905,Subscriber,,38.897315:-77.070993:37.12589158880336,38.8533:-77.0498:4.787567188597041
0h 27m 48s,10/12/2012 8:03:00,Court House Metro / Wilson Blvd & N Uhle St,10/12/2012 8:31:00,Massachusetts Ave & Dupont Circle NW,W00665,Subscriber,,38.891696:-77.0846:61.560015425285386,38.9101:-77.0444:0.037382486137694
0h 11m 32s,10/12/2012 8:02:00,14th & Rhode Island Ave NW,10/12/2012 8:14:00,North Capitol St & F St NW,W01165,Subscriber,,38.9086:-77.0323:44.521598782119085,38.897446:-77.009888:33.10724318681378
0h 13m 22s,10/12/2012 8:02:00,5th St & K St NW,10/12/2012 8:16:00,1st & M St NE,W01344,Subscriber,,38.90304:-77.019027:24.695755218818082,38.9057:-77.0056:10.066673718983665
0h 16m 40s,10/12/2012 8:02:00,14th St & Spring Rd NW,10/12/2012 8:19:00,18th St & Pennsylvania Ave NW,W00773,Subscriber,,38.9375:-77.0328:72.092171222231,38.89968:-77.041539:22.059038524876794
0h 16m 38s,10/12/2012 8:02:00,16th & Harvard St NW,10/12/2012 8:19:00,13th St & New York Ave NW,W01030,Subscriber,,38.926088:-77.036536:48.16606704314131,38.900283:-77.029822:30.763034074079766
0h 9m 18s,10/12/2012 8:02:00,Thomas Circle,10/12/2012 8:12:00,M St & Pennsylvania Ave NW,W00998,Subscriber,,38.9059:-77.0325:87.29941591534198,38.905126:-77.056887:20.269144627354528
0h 10m 36s,10/12/2012 8:02:00,20th St & Florida Ave NW,10/12/2012 8:13:00,19th & E Street NW,W20149,Subscriber,,38.9154:-77.0446:2.194542440324043,38.8952:-77.0436:37.135873427596934
0h 19m 52s,10/11/2012 22:47:00,3rd & D St SE,10/11/2012 23:07:00,7th & R St NW / Shaw Library,W00180,Subscriber,,38.8851:-77.0023:73.06937424895365,38.912719:-77.022155:3.417683539036287
0h 8m 2s,10/11/2012 22:47:00,15th & P St NW,10/11/2012 22:55:00,California St & Florida Ave NW,W00675,Subscriber,,38.90985:-77.034438:33.998461323854,38.917761:-77.04062:31.782494645373603
0h 3m 51s,10/11/2012 22:47:00,Convention Center / 7th & M St NW,10/11/2012 22:51:00,12th & L St NW,W00195,Subscriber,,38.90572:-77.022264:45.58029852544275,38.903819:-77.0284:98.78030916899544
0h 9m 48s,10/11/2012 22:46:00,Adams Mill & Columbia Rd NW,10/11/2012 22:56:00,7th & T St NW,W00586,Subscriber,,38.922925:-77.042581:68.37871253446838,38.9155:-77.0222:96.26319389275511
0h 3m 0s,10/11/2012 22:46:00,8th & H St NW,10/11/2012 22:50:00,13th St & New York Ave NW,W00088,Subscriber,,38.8997:-77.023086:50.458513601911925,38.900283:-77.029822:30.763034074079766
0h 2m 30s,10/11/2012 22:46:00,26th & Crystal Dr,10/11/2012 22:49:00,Crystal City Metro / 18th & Bell St,W00599,Subscriber,,38.8518:-77.0498:14.913659682417235,38.8573:-77.0511:78.87022785117709
0h 10m 8s,10/11/2012 22:46:00,14th & V St NW,10/11/2012 22:56:00,14th St & Spring Rd NW,W00847,Subscriber,,38.9176:-77.0321:66.63283867035868,38.9375:-77.0328:72.092171222231
